idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089617377896083457;2019-01-27  20:13:21;VINICIO  VALLEJO;VINICIOAVALLEJO;638;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;PASAJE,  ECUADOR
1089616797760917506;2019-01-27  20:11:03;WALO;WALO_FA;2446;6;BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;LIMA,  PERU
1089614409918484480;2019-01-27  20:01:34;PIERRE  JANINEH;PJANINEH;130;0;BANCOPICHINCHA  LLEGA  CLAVE  INTERNEXO  ALGUN  PROBLEMA  RED;0.34;0.42000000000000004;QUITO
1089614212077441030;2019-01-27  20:00:46;CLUB  ATLETICO  LA  8VA;8VACLUB;62;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL  ECUADOR
1089614087556947968;2019-01-27  20:00:17;SOFI  BECERRA;SOFIIBECERRA;198;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;PERU
1089612941995864064;2019-01-27  19:55:44;CARLOS;EESPECIALISTA;225;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;PERUANO  ALIANCISTA  DE  CORAZON
1089611920997580806;2019-01-27  19:51:40;FUTBOL;RONALDBS7;442;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;MADRID,  COMUNIDAD  DE  MADRID
1089611785076989952;2019-01-27  19:51:08;FERNANDO  DAVILA  C.;FERNANDODAVILAC;7693;12;BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;LIMA
1089606723894210560;2019-01-27  19:31:01;JASSON;JASSONPR_;635;0;BUEN  VIDEO  HTTPS  TCO8NRNGYUSAG;0.34;0.42000000000000004;
1089605996199231493;2019-01-27  19:28:08;;QUASHIIII;190;1;EXCELENTE  MARKETING  BANCOPICHINCHA  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOEJUEU8BUJZ;0.34;0.42000000000000004;
1089602786294149126;2019-01-27  19:15:22;DIEGO  ANAMISE;DIEGODMNT;105;3;FEGASG  DINERSCLUBEC  BANCOPICHINCHA  BANCOGUAYAQUIL  MAFIA  SI  CHULQUEROS  PODERES;0.34;0.42000000000000004;ECUADOR
1089601750212980736;2019-01-27  19:11:15;MARIANA  BSC  ;ELIZBSC;839;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
